INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 822840937
INFO: Loaded 1 modules   (6135 inline 8-bit counters): 6135 [0x5700a881c2e8, 0x5700a881dadf), 
INFO: Loaded 1 PC tables (6135 PCs): 6135 [0x5700a881dae0,0x5700a8835a50), 
INFO:      966 files found in /home/a1oleg/tonGraph/simulation/corpus_p3s3/
INFO:        1 files found in /home/a1oleg/tonGraph/simulation/corpus_s4c/
INFO: -max_len is not provided; libFuzzer will not generate inputs larger #967	INITED cov: 848 ft: 2876 corp: 89/2782b exec/s: 0 rss: 35Mb
#2961	NEW    cov: 848 ft: 2877 corp: 90/2850b lim: 200 exec/s: 2961 rss: 35Mb L: 68/200 MS#8192	pulse  cov: 848 ft: 2925 corp: 122/44Kb lim: 4096 exec/s: 4096 rss: 35Mb
#16384	pulse  cov: 848 ft: 2925 corp: 122/44Kb lim: 4096 exec/s: 3276 rss: 36Mb
#32768	pulse  cov: 848 ft: 2925 corp: 122/44Kb lim: 4096 exec/s: 2978 rss: 36Mb
#65536	pulse  cov: 848 ft: 2925 corp: 122/44Kb lim: 4096 exec/s: 2849 rss: 36Mb
#81949	REDUCE cov: 848 ft: 2925 corp: 122/44Kb lim: 4096 exec/s: 2483 rss: 36Mb L: 514/4096 MS: 5 ShuffleBytes-EraseBytes-InsertRepeatedBytes-ShuffleBytes-InsertRepeatedBytes-
#99221	NEW    cov: 848 ft: 2927 corp: 123/44Kb lim: 4096 exec/s: 2544 rss: 36Mb L: 7/4096 MS: 4 CrossOver-CopyPart-ChangeBit-InsertByte-
#99232	NEW    cov: 848 ft: 2928 corp: 124/44Kb lim: 4096 exec/s: 2544 rss: 36Mb L: 113/4096 MS: 1 InsertRepeatedBytes-
#104070	REDUCE cov: 848 ft: 2928 corp: 124/44Kb lim: 4096 exec/s: 2538 rss: 36Mb L: 91/4096 MS: 4 EraseBytes-InsertRepeatedBytes-ShuffleBytes-EraseBytes-
#106487	REDUCE cov: 848 ft: 2932 corp: 125/44Kb lim: 409#131072	pulse  cov: 848 ft: 2935 corp: 129/44Kb lim: 4096 exec/s: 2621 rss: 36Mb
#242553	NEW    cov: 848 ft: 2936 corp: 130/47Kb lim: 4096 exec/s: 2580 rss: 36Mb L: 2270/4096 MS: 3 ChangeBinInt-ChangeBinInt-CrossOver-
#262144	pulse  cov: 848 ft: 2936 corp: 130/47Kb lim: 4096 exec/s: 2496 rss: 36Mb
#287605	NEW    cov: 848 ft: 2940 corp: 131/48Kb lim: 4096 exec/s: 2522 rss: 36Mb L: 1140/4096 MS: 3 CrossOver-ChangeBit-ChangeByte-
#396316	NEW    cov: 848 ft: 2942 corp: 132/48Kb lim: 4096 exec/s: 2508 rss: 36Mb L: 265/4096 MS: 5 PersAutoDict-PersAutoDict-CrossOver-ChangeBinInt-ChangeByte- DE: "\001\000"-"\000\000\000\000"-
#409310	NEW    cov: 849 ft: 2947 corp: 133/48Kb lim: 4096 exec/s: 2511 rss: 36Mb L: 50/4096 MS: 3 PersAutoDict-ShuffleBytes-InsertRepeatedBytes- DE: "\000\000\000\000"-
#524288	pulse  cov: 849 ft: 2947 corp: 133/48Kb lim: 4096 exec/s: 2449 rss: 36Mb
#540652	NEW    cov: 849 ft: 2948 corp: 134/48Kb lim: 4096 exec/s: 2457 rss: 36Mb L: 48/4096 MS: 3 CopyPart-ChangeBit-ChangeByte-
