INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 822285976
INFO: Loaded 1 modules   (6135 inline 8-bit counters): 6135 [0x61e250b3e2e8, 0x61e250b3fadf), 
INFO: Loaded 1 PC tables (6135 PCs): 6135 [0x61e250b3fae0,0x61e250b57a50), 
INFO:      966 files found in /home/a1oleg/tonGraph/simulation/corpus_p3s3/
INFO:        1 files found in /home/a1oleg/tonGraph/simulation/corpus_s4c/
INFO: -max_len is not provided; libFuzzer will not generate inputs larger #967	INITED cov: 848 ft: 2870 corp: 89/2996b exec/s: 0 rss: 35Mb
#1643	NEW    cov: 848 ft: 2871 corp: 90/3084b lim: 200 exec/s: 0 rss: 35Mb L: 88/200 MS: 4#8192	pulse  cov: 848 ft: 3110 corp: 128/44Kb lim: 4096 exec/s: 2730 rss: 35Mb
#16384	pulse  cov: 848 ft: 3110 corp: 128/44Kb lim: 4096 exec/s: 2730 rss: 35Mb
#32768	pulse  cov: 848 ft: 3110 corp: 128/44Kb lim: 4096 exec/s: 2978 rss: 35Mb
#38165	NEW    cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2935 rss: 35Mb L: 12/4096 MS: 1 ChangeBinInt-
#46835	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2927 rss: 35Mb L: 9/4096 MS: 2 EraseBytes-ShuffleBytes-
#46895	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2930 rss: 35Mb L: 29/4096 MS: 5 CMP-CrossOver-EraseBytes-ChangeBit-EraseBytes- DE: "\256\000\000\000\000\000\000\000"-
#65536	pulse  cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2849 rss: 35Mb
#76971	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2482 rss: 35Mb L: 10/4096 MS: 2 EraseBytes-InsertByte-
#91042	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2601 rss: 35Mb L: 8/4096 MS: 3 EraseBytes-InsertByte-ShuffleBytes-
#107444	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2620 rss: 35Mb L: 4/4096 MS: 1 EraseBytes-
#130998	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2673 rss: 35Mb L: 12/4096 MS: 2 EraseBytes-ChangeBinInt-
#131072	pulse  cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2674 rss: 35Mb
#146756	REDUCE cov: 848 ft: 3111 corp: 129/44Kb lim: 4096 exec/s: 2668 rss: 35Mb L: 514/4096 MS: 3 EraseBytes-InsertRepeatedBytes-PersAutoDict- DE: "\256\000\000\000\000\000\000\000"-
#190807	NEW    cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2544 rss: 36Mb L: 12/4096 MS: 2 ChangeBit-CopyPart-
#210508	REDUCE cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2567 rss: 36Mb L: 17/4096 MS: 3 EraseBytes-ChangeBit-InsertByte-
#262144	pulse  cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2520 rss: 36Mb
#376250	REDUCE cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2508 rss: 36Mb L: 55/4096 MS: 5 ChangeASCIIInt-InsertByte-CrossOver-EraseBytes-InsertByte-
#405793	REDUCE cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2536 rss: 36Mb L: 20/4096 MS: 4 ChangeByte-CMP-EraseBytes-ShuffleBytes- DE: "\001\000\000\000\000\000\000\000"-
#524288	pulse  cov: 848 ft: 3112 corp: 130/44Kb lim: 4096 exec/s: 2438 rss: 36Mb
#603371	NEW    cov: 848 ft: 3113 corp: 131/45Kb lim: 4096 exec/s: 2423 rss: 36Mb L: 837/4096 MS: 3 CopyPart-ShuffleBytes-CrossOver-
#623018	NEW    cov: 849 ft: 3118 corp: 132/45Kb lim: 4096 exec/s: 2414 rss: 36Mb L: 252/4096 MS: 1 InsertByte-
#639902	REDUCE cov: 849 ft: 3118 corp: 132/45Kb lim: 4096 exec/s: 2414 rss: 36Mb L: 7/4096 MS: 4 EraseBytes-EraseBytes-InsertRepeatedBytes-CopyPart-
#658693	NEW    cov: 849 ft: 3119 corp: 133/46Kb lim: 4096 exec/s: 2412 rss: 36Mb L: 1136/4096 MS: 3 InsertRepeatedBytes-InsertRepeatedBytes-ShuffleBytes-
#844235	REDUCE cov: 849 ft: 3119 corp: 133/46Kb lim: 4096 exec/s: 2439 rss: 36Mb L: 12/4096 MS: 2 ChangeByte-EraseBytes-
